Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10u,
"C10, C11, C9",0402,3,10n,
C12,0402,1,33n,
C13,0402,1,1p5,
C14,0402,1,1p,
C15,0402,1,2n2,
C16,0402,1,4p7,
"C17, C18",0402,2,12p,
"C19, C20, C23, C24, C3",0402,5,1u,
"C21, C22",0402,2,2u2,
"C25, C26, C4, C5, C6, C7",0402,6,100n,
C8,0402,1,10u,
D1,0603,1,GR,
D2,0603,1,YE,
F1,1206,1,100mA,
FB1,0805,1,100 @ 100MHz,
J1,USB_A_Molex_48037-2200_Horizontal,1,USB_A,
J2,SMA_Molex_73251-1153_EdgeMount_Horizontal,1,SMA-F,
J3,PinHeader_2x05_P1.27mm_Vertical_SMD,1,ARM SWD,
L1,0402,1,8n2,
L2,0402,1,2n7,
L3,0402,1,3n9,
R1,0402,1,10k,
"R2, R3",0603,2,2k2,
R4,0402,1,22k,
R5,0402,1,1M,
R6,0402,1,390k,
"R7, R8",0402,2,4k7,
SW1,Button_ESwitch_TL3305,1,BTN1,
SW2,Button_ESwitch_TL3305,1,BTN2,
U1,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,nRF24L01P,
U2,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32L432KBUx,
U3,SOT-23-3,1,XC6206P332MR,
U4,SOT-23-6,1,USBLC6-2SC6,
U5,Display_Univision_UG-2832HSWEG04,1,OLED Display,
Y1,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,1,16MHz,
